שם ראשי,תואר,שם מישני,קבוצה,קבוצה נוספת,סוג,קוד,שכונה
אוסישקין,,מנחם (מנדל),ד. הסטוריה יהודית,,רחוב,801,א
אוסקר,פרופ',לוי,ב. תושבי העיר,יא. תרבות ומדע,כיכר,,א
אחד העם,,,ד. הסטוריה יהודית,יא. תרבות ומדע,רחוב,802,א
אלי כהן,,,ט. לוחמי ישראל,,צומת,613,א
אסלן,,בינימין,ב. תושבי העיר,,כיכר,,א
בורוכוב,,דב (בר),ד. הסטוריה יהודית,,רחוב,803,א
בזל,,,ז. מקומות של עם ישראל,,רחוב,804,א
בלפור,לורד,ג'ימס,ג. אישים בינלאומיים,,רחוב,805,א
בר אילן,הרב,מאיר (ברלין),ד. הסטוריה יהודית,,כיכר,806,א
ברנר,,חיים,ד. הסטוריה יהודית,יא. תרבות ומדע,רחוב,807,א
גורדון,,אהרון דוד,ד. הסטוריה יהודית,,רחוב,808,א
דאלי,הרב,משה כדורי,ד. הסטוריה יהודית,,כיכר,,א
הכותל המערבי,,,ז. מקומות של עם ישראל,,רחוב,809,א
המייסדים,,,ב. תושבי העיר,,כיכר,437,א
המשחררים,,,ט. לוחמי ישראל,,דרך,810,א
הס,,משה,ד. הסטוריה יהודית,,רחוב,812,א
הראשונים,,,ב. תושבי העיר,,גן,,א
הרבי מלובביטש,,,ד. הסטוריה יהודית,ג. אישים בינלאומיים,,840,א
השומר,,,ד. הסטוריה יהודית,,רחוב,813,א
ויצמן,פרופ',חיים,ד. הסטוריה יהודית,,רחוב,814,א
ורבורג,"ד""ר",אוטו,ד. הסטוריה יהודית,,רחוב,815,א
טוביהו,,דוד,ב. תושבי העיר,יד. יקירי העיר,שדרות,366,א
כצנלסון,,ברל,ד. הסטוריה יהודית,,רחוב,817,א
מונטיפיורי,סר,משה,ד. הסטוריה יהודית,,רחוב,818,א
מוריה,,,ז. מקומות של עם ישראל,,רחוב,849,א
מנדלי מוכר ספרים,,,יא. תרבות ומדע,,רחוב,819,א
ניסים,הרב,יצחק,טז. אנשי ציבור,,קרית,,א
סוקולוב,,נחום,ד. הסטוריה יהודית,,רחוב,820,א
סמאטס,,יוחנן,ג. אישים בינלאומיים,,רחוב,821,א
עליית הנוער,,,ד. הסטוריה יהודית,,גן,,א
קפלן,,אליעזר,ד. הסטוריה יהודית,טו. מגילת העצמאות,כיכר,850,א
רגר,,יצחק,ב. תושבי העיר,,שדרות,811,א
שבזי,רבי,שלום,יא. תרבות ומדע,,רחוב,848,א
"שח""ל",,,ט. לוחמי ישראל,,רחוב,823,א
שפירא,,הרמן,ד. הסטוריה יהודית,,רחוב,824,א
תל חי,,,ז. מקומות של עם ישראל,,רחוב,825,א
בן אסא,,בינימין,ב. תושבי העיר,,רחוב,1408,א. תעשיה
בן עמי,,אברהם,ב. תושבי העיר,,רחוב,858,א. תעשיה
גרשפלד,,יעקב,ב. תושבי העיר,,רחוב,841,א. תעשיה
דקל,,,יז. צמחים ובעלי חיים,,רחוב,1411,א. תעשיה
האורגים,,,ח. מורשת,,רחוב,531,א. תעשיה
הטחנה,,,מלאכה ומתכות,,רחוב,869,א. תעשיה
המוסכים,,,מלאכה ומתכות,,רחוב,831,א. תעשיה
המלאכה,,,מלאכה ומתכות,,רחוב,833,א. תעשיה
המסילה,,,מלאכה ומתכות,,רחוב,990,א. תעשיה
המשק,,,מלאכה ומתכות,,רחוב,866,א. תעשיה
הנגרים,,,מלאכה ומתכות,,רחוב,835,א. תעשיה
חיטה,,,יז. צמחים ובעלי חיים,,רחוב,1413,א. תעשיה
חיל הנדסה,,,ט. לוחמי ישראל,,רחוב,995,א. תעשיה
יהודה הנחתום,,,ד. הסטוריה יהודית,,רחוב,843,א. תעשיה
יהושע הצורף,,,ד. הסטוריה יהודית,,רחוב,846,א. תעשיה
יוליה ושמואל,,(רוטנברג),ב. תושבי העיר,,רחוב,898,א. תעשיה
יוסי הבורסקאי,,,ד. הסטוריה יהודית,,רחוב,844,א. תעשיה
יצחק נפחא,,,ד. הסטוריה יהודית,,רחוב,847,א. תעשיה
מלל,,סעדיה,ב. תושבי העיר,,רחוב,893,א. תעשיה
נאוי,,אליהו,ב. תושבי העיר,,דרך,103,א. תעשיה
סדנא,,,מלאכה ומתכות,,רחוב,867,א. תעשיה
עמל,,,מלאכה ומתכות,,רחוב,868,א. תעשיה
פנחס החוצב,,,ד. הסטוריה יהודית,,רחוב,845,א. תעשיה
שעורה,,,יז. צמחים ובעלי חיים,,רחוב,1414,א. תעשיה
תאנה,,,יז. צמחים ובעלי חיים,,רחוב,1415,א. תעשיה
אבן גבירול,,שלמה,יא. תרבות ומדע,,משעול,401,ב
אינשטיין,פרופ',אלברט,יא. תרבות ומדע,,רחוב,402,ב
אלזה,,לסקר-שילר,יא. תרבות ומדע,ו. ישובים הקשורים לעיר,גן,,ב
אסף הרופא,,,ד. הסטוריה יהודית,,רחוב,403,ב
ארגנטינה,,,ו. ישובים הקשורים לעיר,,גן,,ב
ארציאלי,,מרדכי,ב. תושבי העיר,יא. תרבות ומדע,כיכר,,ב
בארון,,דבורה,יא. תרבות ומדע,,רחוב,428,ב
ביאליק,,חיים נחמן,יא. תרבות ומדע,,רחוב,404,ב
בן יהודה,,אליעזר,יא. תרבות ומדע,,רחוב,502,ב
בני אור,,,ד. הסטוריה יהודית,,רחוב,291,ב
בצלאל,,(בן אורי),ד. הסטוריה יהודית,,רחוב,405,ב
ברנשטיין,,לאונרד,יא. תרבות ומדע,ג. אישים בינלאומיים,רחוב,822,ב
גרץ,,צבי,ד. הסטוריה יהודית,,רחוב,406,ב
דובנוב,,שמעון,ד. הסטוריה יהודית,,רחוב,407,ב
דר ניסתר,,,ד. הסטוריה יהודית,,רחוב,530,ב
הוברמן,,ברוניסלב,יא. תרבות ומדע,,רחוב,408,ב
הזז,,חיים,יא. תרבות ומדע,,רחוב,421,ב
הכוזרי,,,ד. הסטוריה יהודית,,רחוב,409,ב
הסופרים,,,יא. תרבות ומדע,,גן,410,ב
"חז""ל",,,ד. הסטוריה יהודית,,רחוב,411,ב
טארג',,מקס,א. ידידי העיר,,כיכר,,ב
טשרנחובסקי,"ד""ר",שאול,יא. תרבות ומדע,,רחוב,412,ב
כהן,,יעקב,יא. תרבות ומדע,,רחוב,422,ב
לאה גולדברג,,,יא. תרבות ומדע,יב. פרס ישראל,משעול,427,ב
למדן,,יצחק,יא. תרבות ומדע,יב. פרס ישראל,רחוב,423,ב
מינץ,,בנימין,ד. הסטוריה יהודית,,רחוב,429,ב
מנדלסון,,משה,ד. הסטוריה יהודית,,רחוב,413,ב
מצדה,,,ד. הסטוריה יהודית,,רחוב,277,ב
סעדיה גאון,,,ד. הסטוריה יהודית,,רחוב,414,ב
פרויד,פרופ',זיגמונד,יא. תרבות ומדע,,רחוב,415,ב
רחל המשוררת,,,יא. תרבות ומדע,,משעול,425,ב
"רמח""ל",,,ד. הסטוריה יהודית,,רחוב,416,ב
שטרוק,,הרמן,ד. הסטוריה יהודית,,רחוב,417,ב
שלום עליכם,,,יא. תרבות ומדע,,רחוב,418,ב
שמעוני,,דוד,יא. תרבות ומדע,יב. פרס ישראל,רחוב,419,ב
שניאור,,זלמן,יא. תרבות ומדע,יב. פרס ישראל,רחוב,424,ב
יא' הספורטאים,,,ד. הסטוריה יהודית,,רחוב,436,ב - קריית גנים
מחרז,פרופ',אברהם,ב. תושבי העיר,יא. תרבות ומדע,רחוב,438,ב - קריית גנים
עורבי,,יעקב,ב. תושבי העיר,,,439,ב - קריית גנים
אליעזר,,פרי,טז. אנשי ציבור,א. ידידי העיר,גן,,ג
אסירי ציון,,,ד. הסטוריה יהודית,,רחוב,601,ג
ארלוזורוב,"ד""ר",חיים,ד. הסטוריה יהודית,,רחוב,501,ג
בינט,"ד""ר",מקס,ט. לוחמי ישראל,,רחוב,832,ג
בסקין,,צבי,ט. לוחמי ישראל,,רחוב,602,ג
גבעתי,,,ט. לוחמי ישראל,,רחוב,503,ג
גולומב,,אליהו,ד. הסטוריה יהודית,,רחוב,504,ג
גולני,,,ט. לוחמי ישראל,,רחוב,505,ג
גוש עציון,,,ד. הסטוריה יהודית,,רחוב,506,ג
דוד בן גוריון,,,ד. הסטוריה יהודית,טו. מגילת העצמאות,שדרות,101,ג
הגאולים,,,ד. הסטוריה יהודית,,רחוב,603,ג
"הכ""ג",,,ט. לוחמי ישראל,,רחוב,604,ג
הלפרין,,מיכאל,ט. לוחמי ישראל,,רחוב,605,ג
המעפילים,,,ד. הסטוריה יהודית,,רחוב,606,ג
המעפילים,,,ד. הסטוריה יהודית,,גן,,ג
הנדיב,,,ד. הסטוריה יהודית,,רחוב,525,ג
הנוטר,,,ד. הסטוריה יהודית,,רחוב,507,ג
הקומנדו הצרפתי,,,ד. הסטוריה יהודית,א. ידידי העיר,גן,,ג
השלום,,,ד. הסטוריה יהודית,,רחוב,508,ג
וינגייט,קולונל,אורד,ג. אישים בינלאומיים,,רחוב,509,ג
וינגייט,קולונל,אורד,ג. אישים בינלאומיים,,גן,,ג
ז'בוטינסקי,,זאב,ד. הסטוריה יהודית,,רחוב,607,ג
זיסו,,.א.ל,ד. הסטוריה יהודית,,רחוב,510,ג
חביבה רייק,,,ט. לוחמי ישראל,,רחוב,527,ג
חומה ומגדל,,,ט. לוחמי ישראל,,רחוב,511,ג
חיבת ציון,,,ד. הסטוריה יהודית,,רחוב,526,ג
חנה סנש,,,ט. לוחמי ישראל,,רחוב,514,ג
יד ושם,,,ד. הסטוריה יהודית,,רחוב,608,ג
כרמלי,,,ט. לוחמי ישראל,,רחוב,512,ג
לאונרד כהן,,,א. ידידי העיר,,רחוב,1262,ג
מנצ'ל,"ד""ר",פועה,ב. תושבי העיר,,רחוב,537,ג
מרכוס,אלוף,דוד,ט. לוחמי ישראל,,רחוב,609,ג
"ניל""י",,,ט. לוחמי ישראל,,רחוב,513,ג
סורוקה,,,א. ידידי העיר,,כיכר,,ג
עולי הגרדום,,,ט. לוחמי ישראל,,רחוב,610,ג
עליאש,,מרדכי,ד. הסטוריה יהודית,,רחוב,519,ג
צבי,,ברמן,ב. תושבי העיר,טז. אנשי ציבור,גן,,ג
קלישר,הרב,צבי,ד. הסטוריה יהודית,,רחוב,515,ג
קרייתי,,,ט. לוחמי ישראל,,רחוב,516,ג
קרן היסוד,,,ד. הסטוריה יהודית,,רחוב,612,ג
רוטנברג,,פנחס,ד. הסטוריה יהודית,,רחוב,517,ג
רזיאל,,דוד,ט. לוחמי ישראל,,רחוב,524,ג
שועלי שמשון,,,ט. לוחמי ישראל,,רחוב,518,ג
שזר,,זלמן,טז. אנשי ציבור,יד. יקירי העיר,שדרות,701,ג
שרעבי,,שלום,ד. הסטוריה יהודית,,רחוב,532,ג
אבטליון,,,ד. הסטוריה יהודית,,משעול,245,ד
אביה השופט,,,ח. מורשת,,רחוב,201,ד
אביר,,מרק,ב. תושבי העיר,,כיכר,259,ד
אבן עזרא,,אברהם,ח. מורשת,,רחוב,290,ד
אברהם אבינו,,,ח. מורשת,,רחוב,202,ד
אוסוולדו ארניה,,,ג. אישים בינלאומיים,,רחוב,266,ד
אליהו הנביא,,,ח. מורשת,,רחוב,203,ד
אלכסנדר ינאי,,,ח. מורשת,,רחוב,205,ד
אלעזר בן יאיר,,,ט. לוחמי ישראל,,רחוב,204,ד
אריסטובולוס,,יהודה,ח. מורשת,,משעול,286,ד
באאזוב,,,ד. הסטוריה יהודית,,כיכר,,ד
ביתר,,,ז. מקומות של עם ישראל,,משעול,287,ד
בן זכאי,רבן,יוחנן,ח. מורשת,,משעול,242,ד
בן מתתיהו,,יוסף,ח. מורשת,,רחוב,276,ד
בן שטח,,שמעון,ד. הסטוריה יהודית,,משעול,243,ד
בני שמעון,,,ח. מורשת,,כיכר,151,ד
בנימין מטודלה,,,ח. מורשת,,רחוב,267,ד
בעלי התוספות,,,ח. מורשת,,רחוב,279,ד
בר גיורא,,שמעון,ח. מורשת,,רחוב,206,ד
בר יוחאי,,שמעון,ח. מורשת,,משעול,241,ד
ברנפלד,"ד""ר",שמעון,ד. הסטוריה יהודית,,רחוב,268,ד
גבאי,הרב,מנחם,ב. תושבי העיר,,רחוב,255,ד
גלעד,,,ז. מקומות של עם ישראל,,רחוב,208,ד
גרר,,,ז. מקומות של עם ישראל,,סמטת,209,ד
דוד המלך,,,ח. מורשת,,רחוב,210,ד
האיסיים,,,ד. הסטוריה יהודית,,רחוב,211,ד
האמוראים,,,ד. הסטוריה יהודית,,משעול,272,ד
הברית,,,ח. מורשת,,כיכר,152,ד
"הדסה-קק""ל",,,ד. הסטוריה יהודית,א. ידידי העיר,גן,,ד
הורקנוס,,יוחנן,ח. מורשת,,רחוב,219,ד
הזוהר,,,ד. הסטוריה יהודית,,רחוב,274,ד
הכנסת,,,ד. הסטוריה יהודית,,רחוב,251,ד
הלל הזקן,,,ד. הסטוריה יהודית,,משעול,247,ד
המכתשים,,,ז. מקומות של עם ישראל,,רחוב,212,ד
הנבטים,,,ז. מקומות של עם ישראל,,משעול,215,ד
הצדיק מירושלים,הרב,(אריה לוין),ג. אישים בינלאומיים,,שדרות,281,ד
הקיני,,,ח. מורשת,,כיכר,216,ד
הקנאים,,,ח. מורשת,,רחוב,252,ד
הקניזי,,,ח. מורשת,,כיכר,217,ד
התלמוד,,,ד. הסטוריה יהודית,,רחוב,271,ד
התנאים,,,ד. הסטוריה יהודית,,משעול,273,ד
זיסו,,תאודור,א. ידידי העיר,,כיכר,185,ד
טייב,הרב,חי יצחק,ד. הסטוריה יהודית,,רחוב,153,ד
יהודה הלוי,,,יא. תרבות ומדע,ד. הסטוריה יהודית,רחוב,263,ד
יהודה הנשיא,,,ד. הסטוריה יהודית,,רחוב,250,ד
יהונתן,,,ח. מורשת,,סמטת,265,ד
יואל השופט,,,ח. מורשת,,רחוב,218,ד
יודפת,,,ז. מקומות של עם ישראל,,משעול,294,ד
יוטבתה,,,ז. מקומות של עם ישראל,,משעול,220,ד
יונתן,,נתניהו,ט. לוחמי ישראל,,גן,,ד
יוספטל,,גיורא,טז. אנשי ציבור,,רחוב,225,ד
יעבץ,,יעקב,יא. תרבות ומדע,,רחוב,237,ד
יעקב אבינו,,,ח. מורשת,,רחוב,221,ד
יצחק אבינו,,,ח. מורשת,,רחוב,222,ד
מודיעין,,,ז. מקומות של עם ישראל,,משעול,295,ד
מימון,הרב,יהודה לייב,ד. הסטוריה יהודית,טו. מגילת העצמאות,רחוב,236,ד
מעון,,,ז. מקומות של עם ישראל,,כיכר,213,ד
מרטון,"ד""ר",ארנו יחזקאל,ד. הסטוריה יהודית,,כיכר,223,ד
נחליאל,,,יז. צמחים ובעלי חיים,,משעול,224,ד
נרבוני,,אנדרה,טז. אנשי ציבור,י. מנהיגים יהודים,כיכר,,ד
סוכות,,,ז. מקומות של עם ישראל,,משעול,214,ד
סוסו,הרב,יוסף הכהן,ב. תושבי העיר,,רחוב,207,ד
סיאטל,,,ו. ישובים הקשורים לעיר,,גן,,ד
סילברט,הרב,אברהם,ב. תושבי העיר,,רחוב,264,ד
סנהדרין,,,ד. הסטוריה יהודית,,רחוב,244,ד
עוזיה המלך,,,ח. מורשת,,רחוב,226,ד
ערד,,,ז. מקומות של עם ישראל,,משעול,253,ד
פארן,,,ז. מקומות של עם ישראל,,משעול,227,ד
פרץ,,מרדכי,ב. תושבי העיר,,גן,,ד
צביה המלכה,,,ח. מורשת,,רחוב,228,ד
צין,,,ז. מקומות של עם ישראל,,רחוב,229,ד
צקלג,,,ז. מקומות של עם ישראל,,רחוב,230,ד
קדש,,,ז. מקומות של עם ישראל,,רחוב,231,ד
קלאוזנר,,יוסף,יא. תרבות ומדע,,רחוב,520,ד
רבי טרפון,,,ד. הסטוריה יהודית,,משעול,278,ד
רבי מאיר בעל הנס,,,ד. הסטוריה יהודית,,רחוב,240,ד
רבי עקיבא,,,ד. הסטוריה יהודית,,רחוב,254,ד
רבן גמליאל,,,ד. הסטוריה יהודית,,משעול,249,ד
רבנו תם,,,ד. הסטוריה יהודית,,רחוב,288,ד
רובין,,ראובן,יא. תרבות ומדע,,רחוב,420,ד
רוסי,,יוסף אלפרד,ט. לוחמי ישראל,,רחבת,270,ד
רחבים,,,ח. מורשת,,כיכר,232,ד
רינגנבלום,"ד""ר",עמנואל,ד. הסטוריה יהודית,יא. תרבות ומדע,רחוב,258,ד
"רמב""ן",,,יא. תרבות ומדע,,רחוב,289,ד
רפידים,,,ז. מקומות של עם ישראל,,משעול,233,ד
"רש""י",רבי,(שלמה יצחקי),יא. תרבות ומדע,י. מנהיגים יהודים,רחוב,275,ד
שיפר,,יצחק,ד. הסטוריה יהודית,,רחוב,830,ד
שלמה המלך,,,ח. מורשת,,רחוב,234,ד
שמאי,,,ד. הסטוריה יהודית,,משעול,248,ד
שמחה אסף,הרב פרופ',(אוסובסקי),יא. תרבות ומדע,,רחוב,269,ד
שמעיה,,,ד. הסטוריה יהודית,,משעול,246,ד
שני אליהו,,,ט. לוחמי ישראל,,גן,,ד
שפרינצק,,יוסף,טז. אנשי ציבור,,רחוב,238,ד
אלתרמן,,נתן,יא. תרבות ומדע,,רחוב,454,ה
בורלא,,יהודה,יא. תרבות ומדע,,רחוב,343,ה
גדולי ישראל,,,ד. הסטוריה יהודית,,גן,,ה
גירית,,,יז. צמחים ובעלי חיים,,משעול,325,ה
גמל,,,יז. צמחים ובעלי חיים,,רחוב,324,ה
דרבן,,,יז. צמחים ובעלי חיים,,משעול,321,ה
האיילה,,,יז. צמחים ובעלי חיים,,רחוב,332,ה
הגלבוע,,,ז. מקומות של עם ישראל,,רחוב,342,ה
המרי העברי,,,ט. לוחמי ישראל,,רחבת,458,ה
העליה,,,ד. הסטוריה יהודית,,רחוב,304,ה
הערבה,,,ז. מקומות של עם ישראל,,רחוב,954,ה
הצבי,,,יז. צמחים ובעלי חיים,,רחוב,331,ה
ורדימון,,יצחק,ב. תושבי העיר,,כיכר,310,ה
זרזיר,,,יז. צמחים ובעלי חיים,,משעול,318,ה
חוגלה,,,יז. צמחים ובעלי חיים,,משעול,317,ה
חרדון,,,יז. צמחים ובעלי חיים,,משעול,327,ה
טבנקין,,יצחק,ד. הסטוריה יהודית,,רחוב,340,ה
יהודי סוריה,,,ד. הסטוריה יהודית,,רחבת,352,ה
ילדי טהרן,,,ד. הסטוריה יהודית,,גן,,ה
יעלים,,,יז. צמחים ובעלי חיים,,שדרות,311,ה
יציאת ארופה,,,ד. הסטוריה יהודית,,רחוב,301,ה
יקירי באר שבע,,,ב. תושבי העיר,,גן,,ה
ירבוע,,,יז. צמחים ובעלי חיים,,משעול,333,ה
כחול לבן,,,ד. הסטוריה יהודית,,רחבת,351,ה
מולדת,,,ד. הסטוריה יהודית,,רחבת,457,ה
מילוס,,,ד. הסטוריה יהודית,,רחבת,456,ה
מעלה עקרבים,,,ז. מקומות של עם ישראל,,משעול,337,ה
מרבד הקסמים,,,ד. הסטוריה יהודית,,רחוב,302,ה
מרדכי,,לאור,ב. תושבי העיר,טז. אנשי ציבור,גן,,ה
נאות הככר,,,ז. מקומות של עם ישראל,,משעול,338,ה
ניצנה,,,ז. מקומות של עם ישראל,,משעול,336,ה
סטרומה,,,ד. הסטוריה יהודית,,רחוב,303,ה
סיני,,,ז. מקומות של עם ישראל,,רחוב,335,ה
סלעית,,,יז. צמחים ובעלי חיים,,משעול,315,ה
עופרים,,,יז. צמחים ובעלי חיים,,משעול,323,ה
עורב,,,יז. צמחים ובעלי חיים,,משעול,312,ה
פטריה,,,ד. הסטוריה יהודית,,משעול,305,ה
פסמון,,,יז. צמחים ובעלי חיים,,משעול,326,ה
קדושי בגדד,,,ד. הסטוריה יהודית,,רחוב,306,ה
קדושי קהיר,,,ד. הסטוריה יהודית,,גן,,ה
קויפמן,פרופ',יחזקאל,יא. תרבות ומדע,יב. פרס ישראל,רחוב,455,ה
